col,format
THELI_NAME,16A
SID,1J
SeqNr,1J
Xpos,1E
Ypos,1E
RAJ2000,1D
DECJ2000,1D
FLUX_AUTO,1E
FLUXERR_AUTO,1E
MAG_AUTO,1E
MAGERR_AUTO,1E
FLUX_RADIUS,1E
A_WORLD,1E
B_WORLD,1E
ERRA_WORLD,1E
ERRB_WORLD,1E
THETA_WORLD,1E
ERRTHETA_WORLD,1E
CLASS_STAR,1E
Agaper,1E
Bgaper,1E
PAgaap,1E
FLUX_GAAP_u,1E
FLUXERR_GAAP_u,1E
FLAG_GAAP_u,1I
MAG_GAAP_u,1E
MAGERR_GAAP_u,1E
FLUX_GAAP_g,1E
FLUXERR_GAAP_g,1E
FLAG_GAAP_g,1I
MAG_GAAP_g,1E
MAGERR_GAAP_g,1E
FLUX_GAAP_r,1E
FLUXERR_GAAP_r,1E
FLAG_GAAP_r,1I
MAG_GAAP_r,1E
MAGERR_GAAP_r,1E
FLUX_GAAP_i,1E
FLUXERR_GAAP_i,1E
FLAG_GAAP_i,1I
MAG_GAAP_i,1E
MAGERR_GAAP_i,1E
FLUX_GAAP_Z,1E
FLUXERR_GAAP_Z,1E
FLAG_GAAP_Z,1I
MAG_GAAP_Z,1E
MAGERR_GAAP_Z,1E
FLUX_GAAP_Y,1E
FLUXERR_GAAP_Y,1E
FLAG_GAAP_Y,1I
MAG_GAAP_Y,1E
MAGERR_GAAP_Y,1E
FLUX_GAAP_J,1E
FLUXERR_GAAP_J,1E
FLAG_GAAP_J,1I
MAG_GAAP_J,1E
MAGERR_GAAP_J,1E
FLUX_GAAP_H,1E
FLUXERR_GAAP_H,1E
FLAG_GAAP_H,1I
MAG_GAAP_H,1E
MAGERR_GAAP_H,1E
FLUX_GAAP_Ks,1E
FLUXERR_GAAP_Ks,1E
FLAG_GAAP_Ks,1I
MAG_GAAP_Ks,1E
MAGERR_GAAP_Ks,1E
MAG_LIM_u,1E
MAG_LIM_g,1E
MAG_LIM_r,1E
MAG_LIM_i,1E
MAG_LIM_Z,1E
MAG_LIM_Y,1E
MAG_LIM_J,1E
MAG_LIM_H,1E
MAG_LIM_Ks,1E
MASK,1J
SG_FLAG,1E
SG2DPHOT,1I
Z_B,1D
Z_B_MIN,1D
Z_B_MAX,1D
T_B,1D
ODDS,1D
Z_ML,1D
T_ML,1D
M_0,1D
contamination_radius,1E
model_SNratio,1E
2D_measurement_variance,1E
weight,1E
fitclass,1I
autocal_e1,1E
autocal_e2,1E
raw_e1,1E
raw_e2,1E
autocal_scalelength_pixels,1E
raw_scalelength_pixels,1E
PSF_e1,1E
PSF_e2,1E
PSF_Strehl_ratio,1E
PSF_Q11,1E
PSF_Q22,1E
PSF_Q12,1E
n_exposures_used,1E
neighbour_mag,1E
neighbour_distance,1E
bulge_fraction,1E
r_ab,1E
PSFsize,1E
R,1E
