col,format
NUMBER,1J
X_WORLD,1E
Y_WORLD,1E
MAG_AUTO,1E
MAGERR_AUTO,1E
id_input,1J
RA_input,1E
DEC_input,1E
redshift_input,1E
r_input,1E
MAG_GAAP_u,1E
MAGERR_GAAP_u,1E
MAG_GAAP_g,1E
MAGERR_GAAP_g,1E
MAG_GAAP_r,1E
MAGERR_GAAP_r,1E
MAG_GAAP_i,1E
MAGERR_GAAP_i,1E
MAG_GAAP_Z,1E
MAGERR_GAAP_Z,1E
MAG_GAAP_Y,1E
MAGERR_GAAP_Y,1E
MAG_GAAP_J,1E
MAGERR_GAAP_J,1E
MAG_GAAP_H,1E
MAGERR_GAAP_H,1E
MAG_GAAP_Ks,1E
MAGERR_GAAP_Ks,1E
Z_B,1E
T_B,1E
e1_LF_r,1E
e2_LF_r,1E
SNR_LF_r,1E
scalelength_LF_r,1E
oldweight_LF_r,1E
psf_e1_LF_r,1E
psf_e2_LF_r,1E
psf_strehl_LF_r,1E
psf_Q11_LF_r,1E
psf_Q22_LF_r,1E
psf_Q12_LF_r,1E
class_LF_r,1I
contamination_radius_LF_r,1E
nm_LF_r,1E
nd_LF_r,1E
LS_variance_LF_r,1E
g1_in,1E
g2_in,1E
run_tag,16A
tile_label,16A
gal_rot,1I
r_ab,1E
PSFsize,1E
R,1E
